year,state,city,new_state,mean_hours,mean_days
2018,서울특별시,종로구,서울특별시 종로구,132,1.8
2018,서울특별시,중구,서울특별시 중구,120,1.7
2018,서울특별시,용산구,서울특별시 용산구,121,1.8
2018,서울특별시,성동구,서울특별시 성동구,185,1.8
2018,서울특별시,광진구,서울특별시 광진구,159,1.8
2018,서울특별시,동대문구,서울특별시 동대문구,191,1.8
2018,서울특별시,중랑구,서울특별시 중랑구,202,1.8
2018,서울특별시,성북구,서울특별시 성북구,211,1.8
2018,서울특별시,강북구,서울특별시 강북구,210,1.8
2018,서울특별시,도봉구,서울특별시 도봉구,198,1.8
2018,서울특별시,노원구,서울특별시 노원구,202,1.9
2018,서울특별시,은평구,서울특별시 은평구,228,1.9
2018,서울특별시,서대문구,서울특별시 서대문구,185,1.8
2018,서울특별시,마포구,서울특별시 마포구,162,1.8
2018,서울특별시,양천구,서울특별시 양천구,211,1.9
2018,서울특별시,강서구,서울특별시 강서구,210,1.8
2018,서울특별시,구로구,서울특별시 구로구,194,1.8
2018,서울특별시,금천구,서울특별시 금천구,222,1.8
2018,서울특별시,영등포구,서울특별시 영등포구,175,1.7
2018,서울특별시,동작구,서울특별시 동작구,196,1.9
2018,서울특별시,관악구,서울특별시 관악구,251,1.8
2018,서울특별시,서초구,서울특별시 서초구,150,1.8
2018,서울특별시,강남구,서울특별시 강남구,177,1.9
2018,서울특별시,송파구,서울특별시 송파구,180,1.8
2018,서울특별시,강동구,서울특별시 강동구,207,1.9
2018,부산광역시,중구,부산광역시 중구,102,1.5
2018,부산광역시,서구,부산광역시 서구,164,1.8
2018,부산광역시,동구,부산광역시 동구,106,1.7
2018,부산광역시,영도구,부산광역시 영도구,173,1.8
2018,부산광역시,부산진구,부산광역시 부산진구,160,1.8
2018,부산광역시,동래구,부산광역시 동래구,167,1.8
2018,부산광역시,남구,부산광역시 남구,190,1.9
2018,부산광역시,북구,부산광역시 북구,221,1.8
2018,부산광역시,해운대구,부산광역시 해운대구,198,1.8
2018,부산광역시,사하구,부산광역시 사하구,217,1.9
2018,부산광역시,금정구,부산광역시 금정구,186,1.8
2018,부산광역시,강서구,부산광역시 강서구,141,1.6
2018,부산광역시,연제구,부산광역시 연제구,180,1.8
2018,부산광역시,수영구,부산광역시 수영구,145,1.7
2018,부산광역시,사상구,부산광역시 사상구,155,1.8
2018,부산광역시,기장군,부산광역시 기장군,158,1.6
2018,대구광역시,중구,대구광역시 중구,119,1.7
2018,대구광역시,동구,대구광역시 동구,182,1.7
2018,대구광역시,서구,대구광역시 서구,176,1.7
2018,대구광역시,남구,대구광역시 남구,167,1.7
2018,대구광역시,북구,대구광역시 북구,210,1.8
2018,대구광역시,수성구,대구광역시 수성구,194,1.8
2018,대구광역시,달서구,대구광역시 달서구,218,1.8
2018,대구광역시,달성군,대구광역시 달성군,212,1.8
2018,인천광역시,중구,인천광역시 중구,153,1.5
2018,인천광역시,동구,인천광역시 동구,151,1.7
2018,인천광역시,미추홀구,인천광역시 미추홀구,196,1.75
2018,인천광역시,연수구,인천광역시 연수구,208,1.8
2018,인천광역시,남동구,인천광역시 남동구,207,1.8
2018,인천광역시,부평구,인천광역시 부평구,189,1.8
2018,인천광역시,계양구,인천광역시 계양구,185,1.8
2018,인천광역시,서구,인천광역시 서구,234,1.9
2018,인천광역시,강화군,인천광역시 강화군,266,1.4
2018,인천광역시,옹진군,인천광역시 옹진군,395,1.7
2018,광주광역시,동구,광주광역시 동구,153,1.8
2018,광주광역시,서구,광주광역시 서구,196,1.7
2018,광주광역시,남구,광주광역시 남구,229,1.8
2018,광주광역시,북구,광주광역시 북구,229,1.8
2018,광주광역시,광산구,광주광역시 광산구,224,1.8
2018,대전광역시,동구,대전광역시 동구,189,1.7
2018,대전광역시,중구,대전광역시 중구,174,1.7
2018,대전광역시,서구,대전광역시 서구,216,1.8
2018,대전광역시,유성구,대전광역시 유성구,216,1.8
2018,대전광역시,대덕구,대전광역시 대덕구,205,1.7
2018,울산광역시,중구,울산광역시 중구,163,1.9
2018,울산광역시,남구,울산광역시 남구,181,1.9
2018,울산광역시,동구,울산광역시 동구,244,1.9
2018,울산광역시,북구,울산광역시 북구,199,1.9
2018,울산광역시,울주군,울산광역시 울주군,219,1.8
2018,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,289,1.8
2018,경기도,수원시 장안구,경기도 수원시 장안구,169,1.8
2018,경기도,수원시 권선구,경기도 수원시 권선구,185,1.8
2018,경기도,수원시 팔달구,경기도 수원시 팔달구,149,1.8
2018,경기도,수원시 영통구,경기도 수원시 영통구,181,1.9
2018,경기도,성남시 수정구,경기도 성남시 수정구,178,1.8
2018,경기도,성남시 중원구,경기도 성남시 중원구,189,1.8
2018,경기도,성남시 분당구,경기도 성남시 분당구,167,1.9
2018,경기도,의정부시,경기도 의정부시,214,1.8
2018,경기도,안양시 만안구,경기도 안양시 만안구,152,1.7
2018,경기도,안양시 동안구,경기도 안양시 동안구,165,1.8
2018,경기도,부천시,경기도 부천시,194,1.8
2018,경기도,광명시,경기도 광명시,158,1.8
2018,경기도,평택시,경기도 평택시,276,1.8
2018,경기도,동두천시,경기도 동두천시,220,1.7
2018,경기도,안산시 상록구,경기도 안산시 상록구,203,1.8
2018,경기도,안산시 단원구,경기도 안산시 단원구,200,1.8
2018,경기도,고양시 덕양구,경기도 고양시 덕양구,164,1.8
2018,경기도,고양시 일산동구,경기도 고양시 일산동구,150,1.9
2018,경기도,고양시 일산서구,경기도 고양시 일산서구,150,1.8
2018,경기도,과천시,경기도 과천시,142,1.9
2018,경기도,구리시,경기도 구리시,144,1.8
2018,경기도,남양주시,경기도 남양주시,226,1.8
2018,경기도,오산시,경기도 오산시,190,1.9
2018,경기도,시흥시,경기도 시흥시,197,1.8
2018,경기도,군포시,경기도 군포시,191,1.8
2018,경기도,의왕시,경기도 의왕시,149,1.8
2018,경기도,하남시,경기도 하남시,155,1.8
2018,경기도,용인시 처인구,경기도 용인시 처인구,257,1.7
2018,경기도,용인시 기흥구,경기도 용인시 기흥구,202,1.9
2018,경기도,용인시 수지구,경기도 용인시 수지구,185,2
2018,경기도,파주시,경기도 파주시,216,1.7
2018,경기도,이천시,경기도 이천시,184,1.7
2018,경기도,안성시,경기도 안성시,191,1.7
2018,경기도,김포시,경기도 김포시,195,1.8
2018,경기도,화성시,경기도 화성시,228,1.8
2018,경기도,광주시,경기도 광주시,207,1.7
2018,경기도,양주시,경기도 양주시,216,1.8
2018,경기도,포천시,경기도 포천시,267,1.5
2018,경기도,여주시,경기도 여주시,173,1.6
2018,경기도,연천군,경기도 연천군,291,1.5
2018,경기도,가평군,경기도 가평군,310,1.3
2018,경기도,양평군,경기도 양평군,215,1.4
2018,강원도,춘천시,강원도 춘천시,288,1.6
2018,강원도,원주시,강원도 원주시,310,1.7
2018,강원도,강릉시,강원도 강릉시,302,1.6
2018,강원도,동해시,강원도 동해시,289,1.6
2018,강원도,태백시,강원도 태백시,304,1.8
2018,강원도,속초시,강원도 속초시,277,1.4
2018,강원도,삼척시,강원도 삼척시,322,1.6
2018,강원도,홍천군,강원도 홍천군,404,1.5
2018,강원도,횡성군,강원도 횡성군,201,1.5
2018,강원도,영월군,강원도 영월군,346,1.5
2018,강원도,평창군,강원도 평창군,384,1.6
2018,강원도,정선군,강원도 정선군,426,1.6
2018,강원도,철원군,강원도 철원군,362,1.6
2018,강원도,화천군,강원도 화천군,365,1.6
2018,강원도,양구군,강원도 양구군,404,1.7
2018,강원도,인제군,강원도 인제군,268,1.6
2018,강원도,고성군,강원도 고성군,369,1.5
2018,강원도,양양군,강원도 양양군,284,1.4
2018,충청북도,청주시 상당구,충청북도 청주시 상당구,163,1.6
2018,충청북도,청주시 서원구,충청북도 청주시 서원구,199,1.8
2018,충청북도,청주시 흥덕구,충청북도 청주시 흥덕구,227,1.8
2018,충청북도,청주시 청원구,충청북도 청주시 청원구,232,1.7
2018,충청북도,충주시,충청북도 충주시,298,1.6
2018,충청북도,제천시,충청북도 제천시,311,1.6
2018,충청북도,보은군,충청북도 보은군,275,1.5
2018,충청북도,옥천군,충청북도 옥천군,192,1.5
2018,충청북도,영동군,충청북도 영동군,313,1.6
2018,충청북도,증평군,충청북도 증평군,235,1.7
2018,충청북도,진천군,충청북도 진천군,265,1.7
2018,충청북도,괴산군,충청북도 괴산군,283,1.5
2018,충청북도,음성군,충청북도 음성군,285,1.8
2018,충청북도,단양군,충청북도 단양군,267,1.5
2018,충청남도,천안시 동남구,충청남도 천안시 동남구,208,1.7
2018,충청남도,천안시 서북구,충청남도 천안시 서북구,241,1.7
2018,충청남도,공주시,충청남도 공주시,189,1.5
2018,충청남도,보령시,충청남도 보령시,346,1.6
2018,충청남도,아산시,충청남도 아산시,277,1.7
2018,충청남도,서산시,충청남도 서산시,278,1.7
2018,충청남도,논산시,충청남도 논산시,261,1.6
2018,충청남도,계룡시,충청남도 계룡시,242,1.8
2018,충청남도,당진시,충청남도 당진시,260,1.7
2018,충청남도,금산군,충청남도 금산군,247,1.5
2018,충청남도,부여군,충청남도 부여군,255,1.6
2018,충청남도,서천군,충청남도 서천군,268,1.5
2018,충청남도,청양군,충청남도 청양군,295,1.5
2018,충청남도,홍성군,충청남도 홍성군,256,1.6
2018,충청남도,예산군,충청남도 예산군,262,1.5
2018,충청남도,태안군,충청남도 태안군,399,1.4
2018,전라북도,전주시 완산구,전라북도 전주시 완산구,223,1.7
2018,전라북도,전주시 덕진구,전라북도 전주시 덕진구,232,1.8
2018,전라북도,군산시,전라북도 군산시,293,1.7
2018,전라북도,익산시,전라북도 익산시,286,1.7
2018,전라북도,정읍시,전라북도 정읍시,267,1.6
2018,전라북도,남원시,전라북도 남원시,289,1.6
2018,전라북도,김제시,전라북도 김제시,235,1.6
2018,전라북도,완주군,전라북도 완주군,244,1.5
2018,전라북도,진안군,전라북도 진안군,286,1.5
2018,전라북도,무주군,전라북도 무주군,287,1.4
2018,전라북도,장수군,전라북도 장수군,324,1.6
2018,전라북도,임실군,전라북도 임실군,205,1.5
2018,전라북도,순창군,전라북도 순창군,259,1.6
2018,전라북도,고창군,전라북도 고창군,241,1.6
2018,전라북도,부안군,전라북도 부안군,331,1.5
2018,전라남도,목포시,전라남도 목포시,259,1.7
2018,전라남도,여수시,전라남도 여수시,328,1.5
2018,전라남도,순천시,전라남도 순천시,262,1.6
2018,전라남도,나주시,전라남도 나주시,249,1.7
2018,전라남도,광양시,전라남도 광양시,283,1.6
2018,전라남도,담양군,전라남도 담양군,173,1.5
2018,전라남도,곡성군,전라남도 곡성군,256,1.6
2018,전라남도,구례군,전라남도 구례군,311,1.5
2018,전라남도,고흥군,전라남도 고흥군,390,1.6
2018,전라남도,보성군,전라남도 보성군,266,1.5
2018,전라남도,화순군,전라남도 화순군,240,1.5
2018,전라남도,장흥군,전라남도 장흥군,311,1.6
2018,전라남도,강진군,전라남도 강진군,248,1.6
2018,전라남도,해남군,전라남도 해남군,312,1.7
2018,전라남도,영암군,전라남도 영암군,258,1.7
2018,전라남도,무안군,전라남도 무안군,245,1.6
2018,전라남도,함평군,전라남도 함평군,227,1.6
2018,전라남도,영광군,전라남도 영광군,281,1.6
2018,전라남도,장성군,전라남도 장성군,251,1.5
2018,전라남도,완도군,전라남도 완도군,372,1.7
2018,전라남도,진도군,전라남도 진도군,321,1.7
2018,전라남도,신안군,전라남도 신안군,377,1.8
2018,경상북도,포항시 남구,경상북도 포항시 남구,241,1.6
2018,경상북도,포항시 북구,경상북도 포항시 북구,241,1.7
2018,경상북도,경주시,경상북도 경주시,276,1.5
2018,경상북도,김천시,경상북도 김천시,293,1.6
2018,경상북도,안동시,경상북도 안동시,268,1.6
2018,경상북도,구미시,경상북도 구미시,297,1.8
2018,경상북도,영주시,경상북도 영주시,318,1.6
2018,경상북도,영천시,경상북도 영천시,253,1.6
2018,경상북도,상주시,경상북도 상주시,275,1.6
2018,경상북도,문경시,경상북도 문경시,294,1.5
2018,경상북도,경산시,경상북도 경산시,243,1.7
2018,경상북도,군위군,경상북도 군위군,179,1.5
2018,경상북도,의성군,경상북도 의성군,285,1.5
2018,경상북도,청송군,경상북도 청송군,279,1.6
2018,경상북도,영양군,경상북도 영양군,425,1.7
2018,경상북도,영덕군,경상북도 영덕군,261,1.5
2018,경상북도,청도군,경상북도 청도군,246,1.4
2018,경상북도,고령군,경상북도 고령군,227,1.6
2018,경상북도,성주군,경상북도 성주군,258,1.5
2018,경상북도,칠곡군,경상북도 칠곡군,207,1.7
2018,경상북도,예천군,경상북도 예천군,313,1.6
2018,경상북도,봉화군,경상북도 봉화군,343,1.6
2018,경상북도,울진군,경상북도 울진군,389,1.6
2018,경상북도,울릉군,경상북도 울릉군,556,2.3
2018,경상남도,창원시 의창구,경상남도 창원시 의창구,156,1.8
2018,경상남도,창원시 성산구,경상남도 창원시 성산구,180,1.9
2018,경상남도,창원시 마산합포구,경상남도 창원시 마산합포구,164,1.7
2018,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구,187,1.8
2018,경상남도,창원시 진해구,경상남도 창원시 진해구,199,1.8
2018,경상남도,진주시,경상남도 진주시,282,1.7
2018,경상남도,통영시,경상남도 통영시,275,1.4
2018,경상남도,사천시,경상남도 사천시,208,1.6
2018,경상남도,김해시,경상남도 김해시,232,1.8
2018,경상남도,밀양시,경상남도 밀양시,269,1.6
2018,경상남도,거제시,경상남도 거제시,333,1.8
2018,경상남도,양산시,경상남도 양산시,220,1.8
2018,경상남도,의령군,경상남도 의령군,266,1.5
2018,경상남도,함안군,경상남도 함안군,223,1.7
2018,경상남도,창녕군,경상남도 창녕군,250,1.5
2018,경상남도,고성군,경상남도 고성군,242,1.5
2018,경상남도,남해군,경상남도 남해군,303,1.4
2018,경상남도,하동군,경상남도 하동군,290,1.5
2018,경상남도,산청군,경상남도 산청군,298,1.4
2018,경상남도,함양군,경상남도 함양군,318,1.6
2018,경상남도,거창군,경상남도 거창군,282,1.5
2018,경상남도,합천군,경상남도 합천군,288,1.5
2018,제주특별자치도,제주시,제주특별자치도 제주시,345,1.9
2018,제주특별자치도,서귀포시,제주특별자치도 서귀포시,341,1.8
2019,서울특별시,종로구,서울특별시 종로구,134,1.8
2019,서울특별시,중구,서울특별시 중구,131,1.6
2019,서울특별시,용산구,서울특별시 용산구,132,1.8
2019,서울특별시,성동구,서울특별시 성동구,192,1.9
2019,서울특별시,광진구,서울특별시 광진구,173,1.9
2019,서울특별시,동대문구,서울특별시 동대문구,203,1.9
2019,서울특별시,중랑구,서울특별시 중랑구,219,1.9
2019,서울특별시,성북구,서울특별시 성북구,225,1.9
2019,서울특별시,강북구,서울특별시 강북구,224,1.9
2019,서울특별시,도봉구,서울특별시 도봉구,216,1.9
2019,서울특별시,노원구,서울특별시 노원구,219,2
2019,서울특별시,은평구,서울특별시 은평구,241,2
2019,서울특별시,서대문구,서울특별시 서대문구,192,1.9
2019,서울특별시,마포구,서울특별시 마포구,173,1.8
2019,서울특별시,양천구,서울특별시 양천구,227,2
2019,서울특별시,강서구,서울특별시 강서구,225,1.9
2019,서울특별시,구로구,서울특별시 구로구,199,1.9
2019,서울특별시,금천구,서울특별시 금천구,241,1.9
2019,서울특별시,영등포구,서울특별시 영등포구,189,1.8
2019,서울특별시,동작구,서울특별시 동작구,208,2
2019,서울특별시,관악구,서울특별시 관악구,257,1.9
2019,서울특별시,서초구,서울특별시 서초구,151,1.9
2019,서울특별시,강남구,서울특별시 강남구,192,1.9
2019,서울특별시,송파구,서울특별시 송파구,198,1.9
2019,서울특별시,강동구,서울특별시 강동구,219,2
2019,부산광역시,중구,부산광역시 중구,109,1.5
2019,부산광역시,서구,부산광역시 서구,168,1.8
2019,부산광역시,동구,부산광역시 동구,118,1.7
2019,부산광역시,영도구,부산광역시 영도구,179,1.8
2019,부산광역시,부산진구,부산광역시 부산진구,163,1.8
2019,부산광역시,동래구,부산광역시 동래구,169,1.8
2019,부산광역시,남구,부산광역시 남구,192,1.9
2019,부산광역시,북구,부산광역시 북구,216,1.9
2019,부산광역시,해운대구,부산광역시 해운대구,198,1.8
2019,부산광역시,사하구,부산광역시 사하구,213,1.9
2019,부산광역시,금정구,부산광역시 금정구,189,1.8
2019,부산광역시,강서구,부산광역시 강서구,143,1.7
2019,부산광역시,연제구,부산광역시 연제구,184,1.8
2019,부산광역시,수영구,부산광역시 수영구,147,1.7
2019,부산광역시,사상구,부산광역시 사상구,169,1.8
2019,부산광역시,기장군,부산광역시 기장군,155,1.6
2019,대구광역시,중구,대구광역시 중구,121,1.7
2019,대구광역시,동구,대구광역시 동구,175,1.7
2019,대구광역시,서구,대구광역시 서구,177,1.7
2019,대구광역시,남구,대구광역시 남구,168,1.7
2019,대구광역시,북구,대구광역시 북구,213,1.8
2019,대구광역시,수성구,대구광역시 수성구,197,1.8
2019,대구광역시,달서구,대구광역시 달서구,220,1.8
2019,대구광역시,달성군,대구광역시 달성군,210,1.8
2019,인천광역시,중구,인천광역시 중구,168,1.6
2019,인천광역시,동구,인천광역시 동구,170,1.8
2019,인천광역시,미추홀구,인천광역시 미추홀구,199,1.9
2019,인천광역시,연수구,인천광역시 연수구,225,1.9
2019,인천광역시,남동구,인천광역시 남동구,219,1.9
2019,인천광역시,부평구,인천광역시 부평구,207,1.9
2019,인천광역시,계양구,인천광역시 계양구,211,2
2019,인천광역시,서구,인천광역시 서구,232,2
2019,인천광역시,강화군,인천광역시 강화군,277,1.5
2019,인천광역시,옹진군,인천광역시 옹진군,381,1.7
2019,광주광역시,동구,광주광역시 동구,160,1.8
2019,광주광역시,서구,광주광역시 서구,200,1.7
2019,광주광역시,남구,광주광역시 남구,231,1.8
2019,광주광역시,북구,광주광역시 북구,234,1.8
2019,광주광역시,광산구,광주광역시 광산구,225,1.8
2019,대전광역시,동구,대전광역시 동구,187,1.7
2019,대전광역시,중구,대전광역시 중구,185,1.7
2019,대전광역시,서구,대전광역시 서구,218,1.8
2019,대전광역시,유성구,대전광역시 유성구,222,1.8
2019,대전광역시,대덕구,대전광역시 대덕구,207,1.8
2019,울산광역시,중구,울산광역시 중구,160,1.9
2019,울산광역시,남구,울산광역시 남구,186,1.8
2019,울산광역시,동구,울산광역시 동구,239,1.8
2019,울산광역시,북구,울산광역시 북구,200,1.9
2019,울산광역시,울주군,울산광역시 울주군,221,1.8
2019,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,298,1.8
2019,경기도,수원시 장안구,경기도 수원시 장안구,190,1.9
2019,경기도,수원시 권선구,경기도 수원시 권선구,207,1.9
2019,경기도,수원시 팔달구,경기도 수원시 팔달구,164,1.8
2019,경기도,수원시 영통구,경기도 수원시 영통구,191,1.9
2019,경기도,성남시 수정구,경기도 성남시 수정구,198,1.9
2019,경기도,성남시 중원구,경기도 성남시 중원구,210,1.9
2019,경기도,성남시 분당구,경기도 성남시 분당구,190,2
2019,경기도,의정부시,경기도 의정부시,234,1.9
2019,경기도,안양시 만안구,경기도 안양시 만안구,179,1.8
2019,경기도,안양시 동안구,경기도 안양시 동안구,191,1.9
2019,경기도,부천시,경기도 부천시,218,2
2019,경기도,광명시,경기도 광명시,171,1.9
2019,경기도,평택시,경기도 평택시,291,1.9
2019,경기도,동두천시,경기도 동두천시,235,1.8
2019,경기도,안산시 상록구,경기도 안산시 상록구,229,1.9
2019,경기도,안산시 단원구,경기도 안산시 단원구,221,1.8
2019,경기도,고양시 덕양구,경기도 고양시 덕양구,178,1.9
2019,경기도,고양시 일산동구,경기도 고양시 일산동구,163,2
2019,경기도,고양시 일산서구,경기도 고양시 일산서구,165,1.9
2019,경기도,과천시,경기도 과천시,153,2
2019,경기도,구리시,경기도 구리시,152,1.9
2019,경기도,남양주시,경기도 남양주시,232,1.9
2019,경기도,오산시,경기도 오산시,205,2
2019,경기도,시흥시,경기도 시흥시,216,1.9
2019,경기도,군포시,경기도 군포시,213,1.9
2019,경기도,의왕시,경기도 의왕시,171,1.9
2019,경기도,하남시,경기도 하남시,163,1.9
2019,경기도,용인시 처인구,경기도 용인시 처인구,269,1.7
2019,경기도,용인시 기흥구,경기도 용인시 기흥구,213,2
2019,경기도,용인시 수지구,경기도 용인시 수지구,211,2
2019,경기도,파주시,경기도 파주시,226,1.8
2019,경기도,이천시,경기도 이천시,210,1.8
2019,경기도,안성시,경기도 안성시,211,1.7
2019,경기도,김포시,경기도 김포시,221,1.9
2019,경기도,화성시,경기도 화성시,247,1.9
2019,경기도,광주시,경기도 광주시,226,1.8
2019,경기도,양주시,경기도 양주시,233,1.9
2019,경기도,포천시,경기도 포천시,277,1.6
2019,경기도,여주시,경기도 여주시,185,1.7
2019,경기도,연천군,경기도 연천군,297,1.6
2019,경기도,가평군,경기도 가평군,326,1.4
2019,경기도,양평군,경기도 양평군,217,1.5
2019,강원도,춘천시,강원도 춘천시,277,1.7
2019,강원도,원주시,강원도 원주시,326,1.8
2019,강원도,강릉시,강원도 강릉시,325,1.6
2019,강원도,동해시,강원도 동해시,289,1.7
2019,강원도,태백시,강원도 태백시,315,1.9
2019,강원도,속초시,강원도 속초시,283,1.4
2019,강원도,삼척시,강원도 삼척시,308,1.7
2019,강원도,홍천군,강원도 홍천군,394,1.5
2019,강원도,횡성군,강원도 횡성군,214,1.6
2019,강원도,영월군,강원도 영월군,352,1.5
2019,강원도,평창군,강원도 평창군,431,1.6
2019,강원도,정선군,강원도 정선군,445,1.6
2019,강원도,철원군,강원도 철원군,345,1.6
2019,강원도,화천군,강원도 화천군,344,1.6
2019,강원도,양구군,강원도 양구군,377,1.8
2019,강원도,인제군,강원도 인제군,273,1.7
2019,강원도,고성군,강원도 고성군,367,1.6
2019,강원도,양양군,강원도 양양군,276,1.4
2019,충청북도,청주시 상당구,충청북도 청주시 상당구,167,1.7
2019,충청북도,청주시 서원구,충청북도 청주시 서원구,200,1.8
2019,충청북도,청주시 흥덕구,충청북도 청주시 흥덕구,228,1.8
2019,충청북도,청주시 청원구,충청북도 청주시 청원구,228,1.7
2019,충청북도,충주시,충청북도 충주시,310,1.6
2019,충청북도,제천시,충청북도 제천시,316,1.6
2019,충청북도,보은군,충청북도 보은군,328,1.5
2019,충청북도,옥천군,충청북도 옥천군,196,1.5
2019,충청북도,영동군,충청북도 영동군,293,1.6
2019,충청북도,증평군,충청북도 증평군,237,1.7
2019,충청북도,진천군,충청북도 진천군,261,1.7
2019,충청북도,괴산군,충청북도 괴산군,279,1.5
2019,충청북도,음성군,충청북도 음성군,289,1.7
2019,충청북도,단양군,충청북도 단양군,277,1.4
2019,충청남도,천안시 동남구,충청남도 천안시 동남구,211,1.7
2019,충청남도,천안시 서북구,충청남도 천안시 서북구,244,1.7
2019,충청남도,공주시,충청남도 공주시,190,1.5
2019,충청남도,보령시,충청남도 보령시,341,1.6
2019,충청남도,아산시,충청남도 아산시,276,1.7
2019,충청남도,서산시,충청남도 서산시,276,1.7
2019,충청남도,논산시,충청남도 논산시,257,1.6
2019,충청남도,계룡시,충청남도 계룡시,243,1.8
2019,충청남도,당진시,충청남도 당진시,262,1.7
2019,충청남도,금산군,충청남도 금산군,245,1.6
2019,충청남도,부여군,충청남도 부여군,253,1.6
2019,충청남도,서천군,충청남도 서천군,262,1.6
2019,충청남도,청양군,충청남도 청양군,292,1.5
2019,충청남도,홍성군,충청남도 홍성군,259,1.6
2019,충청남도,예산군,충청남도 예산군,240,1.5
2019,충청남도,태안군,충청남도 태안군,387,1.4
2019,전라북도,전주시 완산구,전라북도 전주시 완산구,227,1.7
2019,전라북도,전주시 덕진구,전라북도 전주시 덕진구,236,1.8
2019,전라북도,군산시,전라북도 군산시,292,1.7
2019,전라북도,익산시,전라북도 익산시,280,1.7
2019,전라북도,정읍시,전라북도 정읍시,248,1.6
2019,전라북도,남원시,전라북도 남원시,283,1.6
2019,전라북도,김제시,전라북도 김제시,235,1.6
2019,전라북도,완주군,전라북도 완주군,237,1.5
2019,전라북도,진안군,전라북도 진안군,284,1.5
2019,전라북도,무주군,전라북도 무주군,289,1.4
2019,전라북도,장수군,전라북도 장수군,322,1.6
2019,전라북도,임실군,전라북도 임실군,182,1.5
2019,전라북도,순창군,전라북도 순창군,257,1.6
2019,전라북도,고창군,전라북도 고창군,243,1.6
2019,전라북도,부안군,전라북도 부안군,336,1.6
2019,전라남도,목포시,전라남도 목포시,263,1.7
2019,전라남도,여수시,전라남도 여수시,328,1.5
2019,전라남도,순천시,전라남도 순천시,267,1.6
2019,전라남도,나주시,전라남도 나주시,246,1.7
2019,전라남도,광양시,전라남도 광양시,287,1.6
2019,전라남도,담양군,전라남도 담양군,180,1.5
2019,전라남도,곡성군,전라남도 곡성군,252,1.6
2019,전라남도,구례군,전라남도 구례군,301,1.5
2019,전라남도,고흥군,전라남도 고흥군,390,1.6
2019,전라남도,보성군,전라남도 보성군,266,1.6
2019,전라남도,화순군,전라남도 화순군,241,1.6
2019,전라남도,장흥군,전라남도 장흥군,312,1.6
2019,전라남도,강진군,전라남도 강진군,254,1.6
2019,전라남도,해남군,전라남도 해남군,308,1.7
2019,전라남도,영암군,전라남도 영암군,264,1.7
2019,전라남도,무안군,전라남도 무안군,245,1.6
2019,전라남도,함평군,전라남도 함평군,225,1.6
2019,전라남도,영광군,전라남도 영광군,279,1.7
2019,전라남도,장성군,전라남도 장성군,239,1.6
2019,전라남도,완도군,전라남도 완도군,361,1.8
2019,전라남도,진도군,전라남도 진도군,336,1.7
2019,전라남도,신안군,전라남도 신안군,324,1.8
2019,경상북도,포항시 남구,경상북도 포항시 남구,243,1.7
2019,경상북도,포항시 북구,경상북도 포항시 북구,249,1.6
2019,경상북도,경주시,경상북도 경주시,277,1.5
2019,경상북도,김천시,경상북도 김천시,289,1.7
2019,경상북도,안동시,경상북도 안동시,271,1.7
2019,경상북도,구미시,경상북도 구미시,284,1.8
2019,경상북도,영주시,경상북도 영주시,327,1.7
2019,경상북도,영천시,경상북도 영천시,251,1.6
2019,경상북도,상주시,경상북도 상주시,268,1.6
2019,경상북도,문경시,경상북도 문경시,273,1.5
2019,경상북도,경산시,경상북도 경산시,242,1.7
2019,경상북도,군위군,경상북도 군위군,180,1.5
2019,경상북도,의성군,경상북도 의성군,279,1.6
2019,경상북도,청송군,경상북도 청송군,320,1.6
2019,경상북도,영양군,경상북도 영양군,422,1.7
2019,경상북도,영덕군,경상북도 영덕군,261,1.5
2019,경상북도,청도군,경상북도 청도군,245,1.5
2019,경상북도,고령군,경상북도 고령군,228,1.6
2019,경상북도,성주군,경상북도 성주군,256,1.5
2019,경상북도,칠곡군,경상북도 칠곡군,208,1.7
2019,경상북도,예천군,경상북도 예천군,319,1.6
2019,경상북도,봉화군,경상북도 봉화군,333,1.6
2019,경상북도,울진군,경상북도 울진군,373,1.6
2019,경상북도,울릉군,경상북도 울릉군,560,2.3
2019,경상남도,창원시 의창구,경상남도 창원시 의창구,163,1.8
2019,경상남도,창원시 성산구,경상남도 창원시 성산구,181,1.9
2019,경상남도,창원시 마산합포구,경상남도 창원시 마산합포구,166,1.7
2019,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구,189,1.8
2019,경상남도,창원시 진해구,경상남도 창원시 진해구,203,1.8
2019,경상남도,진주시,경상남도 진주시,284,1.7
2019,경상남도,통영시,경상남도 통영시,277,1.4
2019,경상남도,사천시,경상남도 사천시,212,1.6
2019,경상남도,김해시,경상남도 김해시,237,1.8
2019,경상남도,밀양시,경상남도 밀양시,263,1.6
2019,경상남도,거제시,경상남도 거제시,331,1.7
2019,경상남도,양산시,경상남도 양산시,214,1.8
2019,경상남도,의령군,경상남도 의령군,269,1.6
2019,경상남도,함안군,경상남도 함안군,219,1.7
2019,경상남도,창녕군,경상남도 창녕군,252,1.5
2019,경상남도,고성군,경상남도 고성군,242,1.5
2019,경상남도,남해군,경상남도 남해군,296,1.4
